Project Name,Grade,Issues,Complexicy,Duplication,Branch,Java,Swift,Json,Kotlin,Python,C,CPP,CSS,Markdown,Javascript,Shell,Dockerfile,Minor,Medium,Critical,Code Style,Security,Error Prnoe,Performance
pytorch / vision,A,7%,3%,31%,1,67,,,,1161,2,44,,131,,33,,882,506,50,1324,108,1,5
opencv,A,4%,0%,28%,1,1570,596,,,5088,945,5836,,245,48,32,1,11843,1941,608,12625,550,907,233
mmcv,A,6%,2%,32%,1,,,2,,192,,92,,151,,,9,349,68,29,384,16,16,30
AliceVision,A,4%,0%,35%,1,,,,,8,50,865,,532,,30,,832,638,15,1372,54,37,22
computervision-recipes,B,67%,1%,16%,1,,,,,3318,,,19,331,87,5,9,2390,1292,87,3656,83,30,
ccv,A,5%,0%,51%,1,,,,,132,195,87,91,812,73,8,,979,434,15,1238,83,105,2
computer-vision,B,68%,4%,22%,1,,,,,304,,,,352,,13,,427,229,12,654,5,11,
kornia,B,11%,1%,40%,1,,,1,,877,,,,180,,11,10,895,176,8,1066,6,7,
supervision,B,9%,1%,12%,1,,,,,41,,,,78,,,,93,25,1,119,2,,
tracking.js,C,241%,0%,8%,1,,,,,,,,4,67,1057,,,632,403,93,619,415,94,
luminoth,A,5%,1%,11%,1,,,,,59,,,43,3,52,,,99,49,2,141,14,2,
gocv,A,4%,3%,30%,1,,,,,,,7,,160,,2,,162,5,2,163,3,2,1
pytorch-gard-cam,B,26%,0%,12%,1,,,,,77,,,,24,,,,65,35,1,99,2,,
scenic,B,17%,6%,50%,1,,,,,8207,,,,145,,,,7935,324,93,8322,30,,
training_extensions,A,3%,1%,21%,1,,,,,375,,,,249,,,,534,51,38,623,13,,
openMVG,B,8%,0%,33%,1,,,,,15,53,301,50,98,676,,8,817,234,150,919,252,20,10
ffcv,B,42%,0%,15%,1,,,,,370,,4,,370,,2,3,161,231,15,379,24,4,
ml-cvnet,A,6%,1%,12%,,,,,,378,,,,86,,,,331,119,14,402,62,,
EasyCV,B,10%,2%,38%,1,,,,,1752,,,,143,,31,,1195,671,60,1729,195,2,
ImageAI,B,37%,7%,26%,1,,,,,787,,,,387,,,,639,528,7,1162,12,,
Face-Mask-Detection,B,103%,0%,19%,1,,,,,50,,,1,118,,,,41,128,,168,1,,
fiftyone,B,9%,3%,17%,1,,,,,4536,,,419,123,8,3,,3473,1615,9,4945,143,9,
opencv-processing,A,3%,0%,0%,1,120,,,,,,,47,1,,1,,154,14,1,163,,5,1
BoofCV,B,37%,1%,11%,1,74681,,,105,47,,,,43,,,,70068,4808,,72924,1951,,1
super-gradients,B,12%,0%,17%,1,,,,,400,,,,747,,12,2,1059,61,41,1081,78,2,
CV-CUDA,A,5%,0%,25%,1,,,,,121,8,545,,101,5,78,6,432,401,31,623,67,101,73
ComputeLibrary,A,4%,0%,10%,0,,,,,,,,,,,,,101,15,0,3804,4,0,0
deepgaze,B,39%,8%,37%,1,,,,,821,,,,38,,,,733,126,,857,2,,
pcv,B,49%,0%,13%,1,,,,,622,,,,5,,,,553,74,,614,13,,
vlfeat,A,2%,0%,10%,1,,,,,45,128,,151,26,,1,,308,33,10,327,17,6,1
